Ranking,Team,Rating
194,Towson Tigers,0.403327813
195,Southern Mississippi Golden Eagles,0.402983128
196,Loyola-Maryland Greyhounds,0.402537097
197,Appalachian State Mountaineers,0.402518661
198,Georgia State Panthers,0.400028564
199,Jacksonville State Gamecocks,0.39843653
200,Colorado State Rams,0.397775118
201,UNLV Rebels,0.397618101
202,IUPU-Fort Wayne Mastadons,0.397232663
203,Vanderbilt Commodores,0.395160453
204,Austin Peay State Governors,0.3942587
205,Louisiana-Monroe Warhawks,0.393265845
206,Nebraska Cornhuskers,0.38972825
207,Texas Rio Grande Vaqueros,0.389675552
208,Evansville Aces,0.38889383
209,Winthrop Eagles,0.388139377
210,Middle Tennessee State Blue Raiders,0.387912684
211,Utah Valley Wolverines,0.387689352
212,California State-Sacramento Hornets,0.387070221
213,Youngstown State Penguins,0.386455184
214,North Dakota Fighting Hawks,0.384201199
215,Lamar Cardinals,0.381997647
216,Arkansas-Little Rock Trojans,0.381991041
217,Campbell Fighting Camels,0.380851475
218,Saint Francis-Pennsylvania Red Flash,0.380779006
219,Eastern Washington Eagles,0.380388479
220,Hampton University Pirates,0.377658911
221,Southern Utah Thunderbirds,0.37749013
222,Lehigh Mountain Hawks,0.377422563
223,Massachusetts-Lowell River Hawks,0.374436762
224,Rice University Owls,0.373431544
225,Grambling State Tigers,0.373414494
226,California State-Fullerton Titans,0.372815056
227,Valparaiso Crusaders,0.371992977
228,Mercer Bears,0.371815211
229,Robert Morris Colonials,0.369845095
230,Army Black Knights,0.367401933
231,James Madison Dukes,0.366956221
232,Mount Saint Marys Mountaineers,0.366826942
233,Lafayette College Leopards,0.364880566
234,Eastern Kentucky Colonels,0.363756331
235,Fordham Rams,0.363314908
236,Oakland Golden Grizzlies,0.358314142
237,Washington State Cougars,0.358085014
238,Monmouth-New Jersey Hawks,0.357988484
239,Oral Roberts Golden Eagles,0.356454517
240,La Salle Explorers,0.353383927
241,Southern Illinois Salukis,0.352445079
242,Quinnipiac Bobcats,0.351951646
243,Louisiana-Lafayette Ragin Cajuns,0.348118348
244,Western Carolina Catamounts,0.345057826
245,Longwood Lancers,0.341978915
246,California Golden Bears,0.341124541
247,Manhattan Jaspers,0.340218681
248,Drexel Dragons,0.338468048
249,Eastern Illinois Panthers,0.33723864
250,Texas-El Paso Miners,0.337206187
251,Prairie View A&M Panthers,0.335892927
252,George Washington Colonials,0.331394939
253,Indiana-Purdue Jaguars,0.330568088
254,Texas A&M-Corpus Christi Islanders,0.329571842
255,California State-Bakersfield Roadrunners,0.32674501
256,Western Illinois Leathernecks,0.324733538
257,Tennessee-Chattanooga Moccasins,0.324495239
258,Presbyterian Blue Hose,0.324289086
259,Texas Southern Tigers,0.322796287
260,Portland State Vikings,0.3215042
261,Western Michigan Broncos,0.319866652
262,Eastern Michigan Eagles,0.319094145
263,Saint Francis-New York Terriers,0.318604469
264,Northern Arizona Lumberjacks,0.318444328
265,Siena College Saints,0.31332729
266,Massachusetts Minutemen,0.313326773
267,Morehead State Eagles,0.311391946
268,William & Mary Tribe,0.308931383
269,Illinois State Redbirds,0.307853553
270,Missouri-Kansas City Kangaroos,0.3068107
271,California-Riverside Highlanders,0.306307728
272,Florida Gulf Coast Eagles,0.306129506
273,Central Arkansas Bears,0.304376006
274,Bethune Cookman Wildcats,0.30241538
275,Saint Josephs-Pennsylvania Hawks,0.302171885
276,Houston Baptist Huskies,0.3013286
277,Alcorn State Braves,0.299486467
278,Jacksonville Dolphins,0.298696916
279,Virginia Military Keydets,0.297849585
280,High Point Panthers,0.297780556
281,North Carolina Central Eagles,0.296955785
282,Delaware Blue Hens,0.296922843
283,Wisconsin-Milwaukee Panthers,0.294237175
284,California-Davis Aggies,0.294005186
285,Fairfield Stags,0.293271042
286,Cornell Big Red,0.291902136
287,Southeastern Louisiana Lions,0.291593874
288,Nicholls State Colonels,0.287983756
289,Howard Bison,0.287004802
290,Morgan State Bears,0.285361087
291,Stephen F. Austin State Lumberjacks,0.284275796
292,North Carolina A&T Aggies,0.282692002
293,Canisius Golden Griffins,0.282468435
294,Montana State Bobcats,0.281612267
295,Ohio Bobcats,0.281481936
296,Wyoming Cowboys,0.278549358
297,Pacific Tigers,0.277673677
298,North Carolina-Wilmington Seahawks,0.277338338
299,Navy Midshipmen,0.276542375
300,North Alabama Lions,0.274694654
301,Arkansas State Red Wolves,0.273099077
302,Norfolk State Spartans,0.272990919
303,Detroit-Mercy Titans,0.267251107
304,North Carolina-Asheville Bulldogs,0.264566708
305,South Carolina State Bulldogs,0.260658645
306,Saint Peters Peacocks,0.259163926
307,New Hampshire Wildcats,0.255631289
308,Southeast Missouri State Redhawks,0.255417226
309,Alabama State Hornets,0.255285813
310,Troy Trojans,0.253614515
311,Florida A&M Rattlers,0.252666066
312,Citadel Bulldogs,0.251772866
313,Tennessee-Martin Skyhawks,0.25168068
314,Elon Phoenix,0.249612873
315,California State-Long Beach 49ers,0.249022106
316,North Carolina-Charlotte 49ers,0.245417828
317,Holy Cross Crusaders,0.243772352
318,Jackson State Tigers,0.238212577
319,Southern Illinois-Edwardsville Cougars,0.236484369
320,Arkansas-Pine Bluff Golden Lions,0.234196146
321,Bryant University Bulldogs,0.229638084
322,Kennesaw State Owls,0.228676107
323,Idaho State Bengals,0.228476736
324,Cleveland State Vikings,0.22422878
325,Hartford Hawks,0.220978798
326,Incarnate Word Cardinals,0.22067893
327,Portland Pilots,0.218786939
328,Tennessee Tech Golden Eagles,0.218378829
329,Niagara Purple Eagles,0.21634508
330,Cal Poly-Slo Mustangs,0.214126852
331,South Carolina-Upstate Spartans,0.211199307
332,Tennessee State Tigers,0.209978617
333,Marist Red Foxes,0.209663315
334,Northwestern State Demons,0.20888801
335,Denver Pioneers,0.205868788
336,Wagner Seahawks,0.203655666
337,East Carolina Pirates,0.201383996
338,Central Connecticut State Blue Devils,0.200725816
339,McNeese State Cowboys,0.200677728
340,Maine Black Bears,0.20063528
341,Alabama A&M Bulldogs,0.196510594
342,Idaho Vandals,0.191195374
343,Delaware State Hornets,0.184533074
344,Maryland-Eastern Shore Hawks,0.180565127
345,Stetson Hatters,0.173099644
346,San Jose State Spartans,0.171399829
347,Tulane Green Wave,0.159990654
348,Binghamton Bearcats,0.150247447
349,Merrimack Warriors,0.150247447
350,Southern University A&M Jaguars,0.134895801
351,Coppin State Eagles,0.12769632
352,Mississippi Valley State Delta Devils,0.125915269
353,Chicago State Cougars,0.064158602
