VI,CBB Reference,SBR 1,SBR 2,SBR 3,SBR 4,NC,Massey,Team Link,Ret Min,Schedule
Brown Bears,Brown,Brown,,,,Brown,Brown,brown,Brown,Brown
Bryant University Bulldogs,Bryant,Bryant,,,,Bryant,Bryant,bryant,Bryant,Bryant
Bucknell Bison,Bucknell,Bucknell,,,,Bucknell,Bucknell,bucknell,Bucknell,Bucknell
Buffalo Bulls,Buffalo,Buffalo,,,,Buffalo,Buffalo,buffalo,Buffalo,Buffalo
Butler Bulldogs,Butler,Butler,,,,Butler,Butler,butler,Butler,Butler
Cal Poly-Slo Mustangs,Cal Poly,CalPolySLO,,,,Cal Poly,Cal Poly,cal-poly,Cal Poly,Cal Poly
California Baptist Lancers,California Baptist,,,,,California Baptist,Cal Baptist,california-baptist,Cal Baptist,California Baptist
California Golden Bears,California,California,,,,University of California,California,california,California,California
California State-Bakersfield Roadrunners,Cal State Bakersfield,CSBakersfield,,,,Cal State Bakersfield,CS Bakersfield,cal-state-bakersfield,Cal St. Bakersfield,CS Bakersfield
California State-Fullerton Titans,Cal State Fullerton,CSFullerton,,,,Cal State Fullerton,CS Fullerton,cal-state-fullerton,Cal St. Fullerton,CS Fullerton
California State-Long Beach 49ers,Long Beach State,LongBeachState,,,,Long Beach State,Long Beach St,long-beach-state,Long Beach St.,Long Beach St.
California State-Northridge Matadors,Cal State Northridge,CSNorthridge,,,,Cal State Northridge,CS Northridge,cal-state-northridge,Cal St. Northridge,CSUN
California State-Sacramento Hornets,Sacramento State,SacramentoState,,,,Sacramento State,CS Sacramento,sacramento-state,Sacramento St.,Sacramento St.
California-Davis Aggies,UC-Davis,UCDavis,,,,UC-Davis,UC Davis,california-davis,UC Davis,UC Davis
California-Irvine Anteaters,UC-Irvine,CalIrvine,,,,UC-Irvine,UC Irvine,california-irvine,UC Irvine,UC Irvine
California-Riverside Highlanders,UC-Riverside,CalRiverside,,,,UC-Riverside,UC Riverside,california-riverside,UC Riverside,UC Riverside
California-Santa Barbara Gauchos,UCSB,CalSantaBarb,,,,UC-Santa Barbara,UC Santa Barbara,california-santa-barbara,UC Santa Barbara,UC Santa Barbara
Campbell Fighting Camels,Campbell,Campbell,,,,Campbell,Campbell,campbell,Campbell,Campbell
Canisius Golden Griffins,Canisius,Canisius,,,,Canisius,Canisius,canisius,Canisius,Canisius
Central Arkansas Bears,Central Arkansas,CentralArkansas,,,,Central Arkansas,Cent Arkansas,central-arkansas,Central Arkansas,Central Arkansas
Central Connecticut State Blue Devils,Central Connecticut,CentralConn,,,,Central Connecticut State,Central Conn,central-connecticut-state,Central Connecticut,Central Connecticut St.
Central Florida Knights,UCF,CentralFlorida,,,,Central Florida,UCF,central-florida,UCF,UCF
Central Michigan Chippewas,Central Michigan,CentralMichigan,,,,Central Michigan,C Michigan,central-michigan,Central Michigan,Central Michigan
Charleston Southern Buccaneers,Charleston Southern,CharlestonSou,,,,Charleston Southern,Charleston So,charleston-southern,Charleston Southern,Chareston Southern
Chicago State Cougars,Chicago State,ChicagoSt,,,,Chicago State,Chicago St,chicago-state,Chicago St.,Chicago St.
Cincinnati Bearcats,Cincinnati,Cincinnati,,,,Cincinnati,Cincinnati,cincinnati,Cincinnati,Cincinnati
Citadel Bulldogs,Citadel,TheCitadel,,,,Citadel,Citadel,citadel,The Citadel,The Citadel
Clemson Tigers,Clemson,Clemson,,,,Clemson,Clemson,clemson,Clemson,Clemson
Cleveland State Vikings,Cleveland State,ClevelandState,,,,Cleveland State,Cleveland St,cleveland-state,Cleveland St.,Cleveland St.
Coastal Carolina Chanticleers,Coastal Carolina,CoastalCarolina,,,,Coastal Carolina,Coastal Car,coastal-carolina,Coastal Carolina,Coastal Carolina
Colgate Red Raiders,Colgate,Colgate,,,,Colgate,Colgate,colgate,Colgate,Colgate
College of Charleston Cougars,College of Charleston,CollOfCharleston,CollCharleston,,,College of Charleston,Col Charleston,college-of-charleston,College of Charleston,College of Charleston
Colorado Buffaloes,Colorado,Colorado,,,,Colorado,Colorado,colorado,Colorado,Colorado
Colorado State Rams,Colorado State,ColoradoState,,,,Colorado State,Colorado St,colorado-state,Colorado St.,Colorado St.
Columbia Lions,Columbia,Columbia,,,,Columbia,Columbia,columbia,Columbia,Columbia
Connecticut Huskies,UConn,Connecticut,,,,Connecticut,Connecticut,connecticut,Connecticut,Connecticut
Coppin State Eagles,Coppin State,CoppinState,,,,Coppin State,Coppin St,coppin-state,Coppin St.,Coppin St.
Cornell Big Red,Cornell,Cornell,,,,Cornell,Cornell,cornell,Cornell,Cornell
Creighton Blue Jays,Creighton,Creighton,,,,Creighton,Creighton,creighton,Creighton,Creighton
Dartmouth College Big Green,Dartmouth,Dartmouth,,,,Dartmouth,Dartmouth,dartmouth,Dartmouth,Dartmouth
Davidson College Wildcats,Davidson,Davidson,,,,Davidson,Davidson,davidson,Davidson,Davidson
Dayton Flyers,Dayton,Dayton,,,,Dayton,Dayton,dayton,Dayton,Dayton
Delaware Blue Hens,Delaware,Delaware,,,,Delaware,Delaware,delaware,Delaware,Delaware
Delaware State Hornets,Delaware State,DelawareState,,,,Delaware State,Delaware St,delaware-state,Delaware St.,Delaware St.
Denver Pioneers,Denver,DenverU,,,,Denver,Denver,denver,Denver,Denver
DePaul Blue Demons,DePaul,Depaul,,,,DePaul,DePaul,depaul,DePaul,DePaul
Detroit-Mercy Titans,Detroit,DetroitU,,,,Detroit Mercy,Detroit,detroit-mercy,Detroit,Detroit
Drake Bulldogs,Drake,Drake,,,,Drake,Drake,drake,Drake,Drake
Drexel Dragons,Drexel,Drexel,,,,Drexel,Drexel,drexel,Drexel,Drexel
Duke Blue Devils,Duke,Duke,,,,Duke,Duke,duke,Duke,Duke
Duquesne Dukes,Duquesne,Duquesne,,,,Duquesne,Duquesne,duquesne,Duquesne,Duquesne
East Carolina Pirates,East Carolina,EastCarolina,,,,East Carolina,East Carolina,east-carolina,East Carolina,East Carolina
East Tennessee State Buccaneers,ETSU,ETennesseeSt,,,,East Tennessee State,ETSU,east-tennessee-state,East Tennessee St.,East Tennessee St.
Eastern Illinois Panthers,Eastern Illinois,EasternIllinois,,,,Eastern Illinois,E Illinois,eastern-illinois,Eastern Illinois,Eastern Illinois
Eastern Kentucky Colonels,Eastern Kentucky,EasternKentucky,,,,Eastern Kentucky,E Kentucky,eastern-kentucky,Eastern Kentucky,Eastern Kentucky
Eastern Michigan Eagles,Eastern Michigan,EasternMichigan,,,,Eastern Michigan,E Michigan,eastern-michigan,Eastern Michigan,Eastern Michigan
Eastern Washington Eagles,Eastern Washington,EasternWashington,E.Washington,,,Eastern Washington,E Washington,eastern-washington,Eastern Washington,Eastern Washington
Elon Phoenix,Elon,Elon,,,,Elon,Elon,elon,Elon,Elon
Evansville Aces,Evansville,Evansville,,,,Evansville,Evansville,evansville,Evansville,Evansville
Fairfield Stags,Fairfield,Fairfield,,,,Fairfield,Fairfield,fairfield,Fairfield,Fairfield
Fairleigh Dickinson-Metropolitan Knights,Fairleigh Dickinson,FairDickinson,,,,Fairleigh Dickinson,F Dickinson,fairleigh-dickinson,Fairleigh Dickinson,Fairleigh Dickinson
Florida A&M Rattlers,Florida A&M,FloridaA&M,,,,Florida A&M,Florida A&M,florida-am,Florida A&M,Florida A&M
Florida Atlantic Owls,Florida Atlantic,FlaAtlantic,,,,Florida Atlantic,FL Atlantic,florida-atlantic,Florida Atlantic,FAU
Florida Gators,Florida,Florida,,,,Florida,Florida,florida,Florida,Florida
Florida Gulf Coast Eagles,Florida Gulf Coast,FlaGulfCoast,,,,Florida Gulf Coast,FL Gulf Coast,florida-gulf-coast,Florida Gulf Coast,Florida Gulf Coast
Florida International Panthers,Florida International,FloridaIntl,,,,Florida International,Florida Intl,florida-international,FIU,FIU
Florida State Seminoles,Florida State,FloridaState,,,,Florida State,Florida St,florida-state,Florida St.,Florida St.
Fordham Rams,Fordham,Fordham,,,,Fordham,Fordham,fordham,Fordham,Fordham
Fresno State Bulldogs,Fresno State,FresnoState,,,,Fresno State,Fresno St,fresno-state,Fresno St.,Fresno St.
Furman  Paladins,Furman,Furman,,,,Furman,Furman,furman,Furman,Furman
Gardner Webb Runnin Bulldogs,Gardner-Webb,GardnerWebb,,,,Gardner-Webb,Gardner Webb,gardner-webb,Gardner Webb,Gardner-Webb
George Mason Patriots,George Mason,GeorgeMason,,,,George Mason,George Mason,george-mason,George Mason,George Mason
George Washington Colonials,George Washington,GeoWashington,,,,George Washington,G Washington,george-washington,George Washington,George Washington
Georgetown Hoyas,Georgetown,Georgetown,,,,Georgetown,Georgetown,georgetown,Georgetown,Georgetown
Georgia Bulldogs,Georgia,Georgia,,,,Georgia,Georgia,georgia,Georgia,Georgia
Georgia Southern Eagles,Georgia Southern,GeorgiaSouthern,,,,Georgia Southern,Ga Southern,georgia-southern,Georgia Southern,Georgia Southern
Georgia State Panthers,Georgia State,GeorgiaState,,,,Georgia State,Georgia St,georgia-state,Georgia St.,Georgia St.
Georgia Tech Yellow Jackets,Georgia Tech,GeorgiaTech,,,,Georgia Tech,Georgia Tech,georgia-tech,Georgia Tech,Georgia Tech
Gonzaga Bulldogs,Gonzaga,Gonzaga,,,,Gonzaga,Gonzaga,gonzaga,Gonzaga,Gonzaga
Grambling State Tigers,Grambling,,,,,Grambling,Grambling,grambling,Grambling St.,Grambling
Grand Canyon Antelope,Grand Canyon,GrandCanyon,,,,Grand Canyon,Grand Canyon,grand-canyon,Grand Canyon,Grand Canyon
Hampton University Pirates,Hampton,Hampton,,,,Hampton,Hampton,hampton,Hampton,"Hampton"
Hartford Hawks,Hartford,Hartford,,,,Hartford,Hartford,hartford,Hartford,Hartford
Harvard Crimson,Harvard,Harvard,,,,Harvard,Harvard,harvard,Harvard,Harvard
Hawaii Rainbow Warriors,Hawaii,Hawaii,,,,Hawaii,Hawaii,hawaii,Hawaii,Hawai'i
High Point Panthers,High Point,HighPoint,,,,High Point,High Point,high-point,High Point,High Point
Hofstra Pride,Hofstra,Hofstra,,,,Hofstra,Hofstra,hofstra,Hofstra,Hofstra
Holy Cross Crusaders,Holy Cross,HolyCross,,,,Holy Cross,Holy Cross,holy-cross,Holy Cross,Holy Cross
Houston Baptist Huskies,Houston Baptist,HoustonBaptist,,,,Houston Baptist,Houston Bap,houston-baptist,Houston Baptist,Houston Baptist
Houston Cougars,Houston,HoustonU,,,,Houston,Houston,houston,Houston,Houston
Howard Bison,Howard,Howard,,,,Howard,Howard,howard,Howard,Howard
Idaho State Bengals,Idaho State,IdahoState,,,,Idaho State,Idaho St,idaho-state,Idaho St.,Idaho St.
Idaho Vandals,Idaho,IdahoU,,,,Idaho,Idaho,idaho,Idaho,Idaho
Illinois Fighting Illini,Illinois,Illinois,,,,Illinois,Illinois,illinois,Illinois,Illinois
Illinois State Redbirds,Illinois State,IllinoisState,,,,Illinois State,Illinois St,illinois-state,Illinois St.,Illinois St.
Illinois-Chicago Flames,UIC,IllinoisChicago,,,,Illinois-Chicago,IL Chicago,illinois-chicago,Illinois Chicago,UIC
Incarnate Word Cardinals,Incarnate Word,IncarnateWord,,,,Incarnate Word,Incarnate Word,incarnate-word,Incarnate Word,Incarnate Word
Indiana Hoosiers,Indiana,Indiana,IndianaU,,,Indiana,Indiana,indiana,Indiana,Indiana
Indiana State Sycamores,Indiana State,IndianaState,,,,Indiana State,Indiana St,indiana-state,Indiana St.,Indiana St.
Indiana-Purdue Jaguars,IUPUI,IUPUI,,,,IUPUI,IUPUI,iupui,IUPUI,IUPUI
Iona Gaels,Iona,Iona,,,,Iona,Iona,iona,Iona,Iona
Iowa Hawkeyes,Iowa,Iowa,,,,Iowa,Iowa,iowa,Iowa,Iowa
Iowa State Cyclones,Iowa State,IowaState,,,,Iowa State,Iowa St,iowa-state,Iowa St.,Iowa St.
IUPU-Fort Wayne Mastadons,Purdue-Fort Wayne,IPFW,,,,Purdue-Fort Wayne,IPFW,ipfw,Fort Wayne,Fort Wayne
Jackson State Tigers,Jackson State,JacksonState,,,,Jackson State,Jackson St,jackson-state,Jackson St.,Jackson St.
Jacksonville Dolphins,Jacksonville,Jacksonville,,,,Jacksonville,Jacksonville,jacksonville,Jacksonville,Jacksonville
Jacksonville State Gamecocks,Jacksonville State,JacksonvilleSt,,,,Jacksonville State,Jacksonville St,jacksonville-state,Jacksonville St.,Jacksonville St.
James Madison Dukes,James Madison,JamesMadison,,,,James Madison,James Madison,james-madison,James Madison,James Madison
Kansas Jayhawks,Kansas,Kansas,,,,Kansas,Kansas,kansas,Kansas,Kansas
Kansas State Wildcats,Kansas State,KansasState,,,,Kansas State,Kansas St,kansas-state,Kansas St.,Kansas St.
Kennesaw State Owls,Kennesaw State,KennesawSt,,,,Kennesaw State,Kennesaw,kennesaw-state,Kennesaw St.,Kennesaw St.
Kent State Golden Flashes,Kent State,KentState,,,,Kent State,Kent,kent-state,Kent St.,Kent St.
Kentucky Wildcats,Kentucky,Kentucky,,,,Kentucky,Kentucky,kentucky,Kentucky,Kentucky
La Salle Explorers,La Salle,LaSalle,,,,La Salle,La Salle,la-salle,La Salle,La Salle
Lafayette College Leopards,Lafayette,Lafayette,,,,Lafayette,Lafayette,lafayette,Lafayette,Lafayette
Lamar Cardinals,Lamar,Lamar,,,,Lamar,Lamar,lamar,Lamar,Lamar
Lehigh Mountain Hawks,Lehigh,Lehigh,,,,Lehigh,Lehigh,lehigh,Lehigh,Lehigh
Liberty University Flames,Liberty,Liberty,,,,Liberty,Liberty,liberty,Liberty,Liberty
Lipscomb Bison,Lipscomb,Lipscomb,,,,Lipscomb,Lipscomb,lipscomb,Lipscomb,Lipscomb
Long Island Brooklyn Blackbirds,LIU-Brooklyn,LongIsland,,,,Long Island University,LIU Brooklyn,long-island-university,LIU Brooklyn,LIU Brooklyn
Longwood Lancers,Longwood,Longwood,,,,Longwood,Longwood,longwood,Longwood,Longwood
Louisiana State Tigers,LSU,LSU,,,,Louisiana State,LSU,louisiana-state,LSU,LSU
Louisiana Tech Bulldogs,Louisiana Tech,LouisianaTech,,,,Louisiana Tech,Louisiana Tech,louisiana-tech,Louisiana Tech,Louisiana Tech
Louisiana-Lafayette Ragin Cajuns,Louisiana,ULLafayette,,,,Louisiana,ULL,louisiana-lafayette,Louisiana Lafayette,UL Lafayette
Louisiana-Monroe Warhawks,Louisiana-Monroe,ULMonroe,,,,Louisiana-Monroe,ULM,louisiana-monroe,Louisiana Monroe,UL Monroe
Louisville Cardinals,Louisville,Louisville,,,,Louisville,Louisville,louisville,Louisville,Louisville
Loyola-Chicago Ramblers,Loyola (IL),LoyolaChicago,,,,Loyola (IL),Loyola-Chicago,loyola-il,Loyola Chicago,Loyola (Chicago)
Loyola-Maryland Greyhounds,Loyola (MD),LoyolaMaryland,,,,Loyola (MD),Loyola MD,loyola-md,Loyola MD,Loyola (MD)
Loyola-Marymount Lions,Loyola (LA),LoyolaMarymount,,,,Loyola Marymount,Loy Marymount,loyola-marymount,Loyola Marymount,Loyola Marymount
Maine Black Bears,Maine,Maine,,,,Maine,Maine,maine,Maine,Maine
Manhattan Jaspers,Manhattan,Manhattan,,,,Manhattan,Manhattan,manhattan,Manhattan,Manhattan
Marist Red Foxes,Marist,Marist,,,,Marist,Marist,marist,Marist,Marist
Marquette Golden Eagles,Marquette,Marquette,,,,Marquette,Marquette,marquette,Marquette,Marquette
Marshall Thundering Herd,Marshall,Marshall,,,,Marshall,Marshall,marshall,Marshall,Marshall
Maryland Terrapins,Maryland,Maryland,,,,Maryland,Maryland,maryland,Maryland,Maryland
Maryland-Baltimore County Retrievers,UMBC,MDBaltimoreCo,,,,Maryland-Baltimore County,UMBC,maryland-baltimore-county,UMBC,UMBC
Maryland-Eastern Shore Hawks,Maryland-Eastern Shore,MDEasternShore,,,,Maryland-Eastern Shore,MD E Shore,maryland-eastern-shore,Maryland Eastern Shore,UMES
Massachusetts Minutemen,UMass,Massachusetts,,,,Massachusetts,Massachusetts,massachusetts,Massachusetts,Massachusetts
Massachusetts-Lowell River Hawks,UMass-Lowell,UMassLowell,,,,Massachusetts-Lowell,MA Lowell,massachusetts-lowell,UMass Lowell,UMass Lowell
McNeese State Cowboys,McNeese State,McNeeseState,,,,McNeese State,McNeese St,mcneese-state,McNeese St.,McNeese
Memphis Tigers,Memphis,Memphis,MemphisU,,,Memphis,Memphis,memphis,Memphis,Memphis
Mercer Bears,Mercer,Mercer,,,,Mercer,Mercer,mercer,Mercer,Mercer
Miami-Florida Hurricanes,Miami (FL),MiamiFlorida,,,,Miami (FL),Miami FL,miami-fl,Miami FL,Miami (FL)
Miami-Ohio Redhawks,Miami (OH),MiamiOhio,,,,Miami (OH),Miami OH,miami-oh,Miami OH,Miami (OH)
Michigan State Spartans,Michigan State,MichiganState,,,,Michigan State,Michigan St,michigan-state,Michigan St.,Michigan St.
Michigan Wolverines,Michigan,Michigan,,,,Michigan,Michigan,michigan,Michigan,Michigan
Middle Tennessee State Blue Raiders,Middle Tennessee,MiddleTennSt,,,,Middle Tennessee,MTSU,middle-tennessee,Middle Tennessee,Middle Tennessee
Minnesota Golden Gophers,Minnesota,Minnesota,MinnesotaU,,,Minnesota,Minnesota,minnesota,Minnesota,Minnesota
Mississippi Rebels,Ole Miss,Mississippi,,,,Mississippi,Mississippi,mississippi,Mississippi,Ole Miss
Mississippi State Bulldogs,Mississippi State,MississippiSt,,,,Mississippi State,Mississippi St,mississippi-state,Mississippi St.,Mississippi St.
Mississippi Valley State Delta Devils,Mississippi Valley State,MissValleySt,,,,Mississippi Valley State,MS Valley St,mississippi-valley-state,Mississippi Valley St.,Mississippi Valley St.
Missouri State Bears,Missouri State,MissouriSt,,,,Missouri State,Missouri St,missouri-state,Missouri St.,Missouri St.
Missouri Tigers,Missouri,Missouri,,,,Missouri,Missouri,missouri,Missouri,Missouri
Missouri-Kansas City Kangaroos,UMKC,MoKansasCity,UMKC,,,Missouri-Kansas City,Missouri KC,missouri-kansas-city,UMKC,UMKC
Monmouth-New Jersey Hawks,Monmouth,Monmouth,,,,Monmouth,Monmouth NJ,monmouth,Monmouth,Monmouth
Montana Grizzlies,Montana,Montana,,,,Montana,Montana,montana,Montana,Montana
Montana State Bobcats,Montana State,MontanaState,,,,Montana State,Montana St,montana-state,Montana St.,Montana St.
Morehead State Eagles,Morehead State,MoreheadState,,,,Morehead State,Morehead St,morehead-state,Morehead St.,Morehead St.
Morgan State Bears,Morgan State,MorganState,,,,Morgan State,Morgan St,morgan-state,Morgan St.,Morgan St.
Mount Saint Marys Mountaineers,Mount St. Mary's,MountStMarys,,,,Mount St. Mary's,Mt St Mary's,mount-st-marys,Mount St. Mary's,Mount St. Mary's
Murray State Racers,Murray State,MurrayState,,,,Murray State,Murray St,murray-state,Murray St.,Murray St.
Navy Midshipmen,Navy,Navy,,,,Navy,Navy,navy,Navy,Navy
Nebraska Cornhuskers,Nebraska,Nebraska,,,,Nebraska,Nebraska,nebraska,Nebraska,Nebraska
Nebraska-Omaha Mavericks,Omaha,NebraskaOmaha,,,,Omaha,NE Omaha,nebraska-omaha,Nebraska Omaha,Omaha
Nevada Wolf Pack,Nevada,Nevada,,,,Nevada,Nevada,nevada,Nevada,Nevada
New Hampshire Wildcats,New Hampshire,NewHampshire,,,,New Hampshire,New Hampshire,new-hampshire,New Hampshire,New Hampshire
New Jersey Tech Highlanders,NJIT,NJIT,,,,NJIT,NJIT,njit,NJIT,NJIT
New Mexico Lobos,New Mexico,NewMexico,,,,New Mexico,New Mexico,new-mexico,New Mexico,New Mexico
New Mexico State Aggies,New Mexico State,NewMexicoState,,,,New Mexico State,New Mexico St,new-mexico-state,New Mexico St.,New Mexico St.
New Orleans Privateers,New Orleans,NewOrleansU,,,,New Orleans,New Orleans,new-orleans,New Orleans,New Orleans
Niagara Purple Eagles,Niagara,Niagara,,,,Niagara,Niagara,niagara,Niagara,Niagara
Nicholls State Colonels,Nicholls State,NichollsState,,,,Nicholls State,Nicholls St,nicholls-state,Nicholls St.,Nicholls
Norfolk State Spartans,Norfolk State,NorfolkSt,,,,Norfolk State,Norfolk St,norfolk-state,Norfolk St.,Norfolk St.
North Alabama Lions,North Alabama,,,,,North Alabama,North Alabama,north-alabama,North Alabama,North Alabama
North Carolina A&T Aggies,North Carolina A&T,N.CarolinaA&T,,,,North Carolina A&T,NC A&T,north-carolina-at,North Carolina A&T,North Carolina A&T
North Carolina Central Eagles,North Carolina Central,NCCentral,,,,North Carolina Central,NC Central,north-carolina,North Carolina,North Carolina
North Carolina State Wolfpack,NC State,NCState,,,,North Carolina State,NC State,north-carolina-state,North Carolina St.,NC State
North Carolina Tar Heels,UNC,NorthCarolina,,,,North Carolina,North Carolina,north-carolina-central,North Carolina Central,NC Central
North Carolina-Asheville Bulldogs,UNC Asheville,NCAsheville,,,,North Carolina-Asheville,UNC Asheville,north-carolina-asheville,UNC Asheville,UNC Asheville
North Carolina-Charlotte 49ers,Charlotte,CharlotteU,,,,Charlotte,Charlotte,charlotte,Charlotte,Charlotte
North Carolina-Greensboro Spartans,UNC Greensboro,NCGreensboro,,,,UNC Greensboro,UNC Greensboro,north-carolina-greensboro,UNC Greensboro,UNC Greensboro
North Carolina-Wilmington Seahawks,UNC Wilmington,NCWilmington,,,,UNC Wilmington,UNC Wilmington,north-carolina-wilmington,UNC Wilmington,UNC Wilmington
North Dakota Fighting Hawks,North Dakota,NorthDakota,,,,North Dakota,North Dakota,north-dakota,North Dakota,North Dakota
North Dakota State Bison,North Dakota State,NDakotaSt,NorthDakotaSt,NorthDakotaState,zzzzNDakotaSt,North Dakota State,N Dakota St,north-dakota-state,North Dakota St.,North Dakota St.
North Florida Ospreys,North Florida,NorthFlorida,,,,North Florida,North Florida,north-florida,North Florida,UNF
North Texas Mean Green Eagles,North Texas,NorthTexas,,,,North Texas,North Texas,north-texas,North Texas,North Texas
Northeastern Huskies,Northeastern,Northeastern,,,,Northeastern,Northeastern,northeastern,Northeastern,Northeastern
Northern Arizona Lumberjacks,Northern Arizona,NorthernArizona,,,,Northern Arizona,Northern Arizona,northern-arizona,Northern Arizona,Northern Arizona
Northern Colorado Bears,Northern Colorado,No.Colorado,,,,Northern Colorado,N Colorado,northern-colorado,Northern Colorado,Northern Colorado
Northern Illinois Huskies,Northern Illinois,NoIllinois,,,,Northern Illinois,N Illinois,northern-illinois,Northern Illinois,Northern Illinois
Northern Iowa Panthers,Northern Iowa,NorthernIowa,,,,Northern Iowa,Northern Iowa,northern-iowa,Northern Iowa,Northern Iowa
Northern Kentucky Norse,Northern Kentucky,NorthernKentucky,,,,Northern Kentucky,N Kentucky,northern-kentucky,Northern Kentucky,Northern Kentucky
Northwestern State Demons,Northwestern State,NorthwesternSt,,,,Northwestern State,Northwestern LA,northwestern-state,Northwestern St.,Northwestern St.
Northwestern Wildcats,Northwestern,Northwestern,,,,Northwestern,Northwestern,northwestern,Northwestern,Northwestern
Notre Dame Fighting Irish,Notre Dame,NotreDame,,,,Notre Dame,Notre Dame,notre-dame,Notre Dame,Notre Dame
Oakland Golden Grizzlies,Oakland,Oakland,,,,Oakland,Oakland,oakland,Oakland,Oakland
Ohio Bobcats,Ohio,Ohio,,,,Ohio,Ohio,ohio,Ohio,Ohio
Ohio State Buckeyes,Ohio State,OhioState,,,,Ohio State,Ohio St,ohio-state,Ohio St.,Ohio St.
Oklahoma Sooners,Oklahoma,Oklahoma,,,,Oklahoma,Oklahoma,oklahoma,Oklahoma,Oklahoma
Oklahoma State Cowboys,Oklahoma State,OklahomaState,,,,Oklahoma State,Oklahoma St,oklahoma-state,Oklahoma St.,Oklahoma St.
Old Dominion Monarchs,Old Dominion,OldDominion,,,,Old Dominion,Old Dominion,old-dominion,Old Dominion,Old Dominion
Oral Roberts Golden Eagles,Oral Roberts,OralRoberts,,,,Oral Roberts,Oral Roberts,oral-roberts,Oral Roberts,Oral Roberts
Oregon Ducks,Oregon,Oregon,,,,Oregon,Oregon,oregon,Oregon,Oregon
Oregon State Beavers,Oregon State,OregonState,,,,Oregon State,Oregon St,oregon-state,Oregon St.,Oregon St.
Pacific Tigers,Pacific,Pacific,,,,Pacific,Pacific,pacific,Pacific,Pacific
Penn State Nittany Lions,Penn State,PennState,,,,Penn State,Penn St,penn-state,Penn St.,Penn St.
