Date,Team,Ranking
11/5/2019,Kansas State Wildcats,0.564824776
11/5/2019,Arizona State Sun Devils,0.563009875
11/5/2019,Iowa State Cyclones,0.560927714
11/5/2019,Penn State Nittany Lions,0.560412931
11/5/2019,Illinois Fighting Illini,0.557179323
11/5/2019,Mississippi Rebels,0.555350327
11/5/2019,Northern Kentucky Norse,0.551181078
11/5/2019,Oregon State Beavers,0.550611751
11/5/2019,Temple Owls,0.550429474
11/5/2019,North Carolina-Greensboro Spartans,0.548213887
11/5/2019,Arkansas Razorbacks,0.545465075
11/5/2019,Rhode Island Rams,0.544686705
11/5/2019,Arizona Wildcats,0.542377688
11/5/2019,Syracuse Orange,0.542154369
11/5/2019,San Francisco Dons,0.535110148
11/5/2019,Murray State Racers,0.535053047
11/5/2019,Connecticut Huskies,0.534473226
11/5/2019,Toledo Rockets,0.533770029
11/5/2019,Buffalo Bulls,0.531402859
11/5/2019,Georgia Southern Eagles,0.5301295
11/5/2019,Georgetown Hoyas,0.529660205
11/5/2019,Butler Bulldogs,0.529036418
11/5/2019,Louisiana Tech Bulldogs,0.52887725
11/5/2019,Colgate Red Raiders,0.52800597
11/5/2019,Hofstra Pride,0.527469682
11/5/2019,California-Irvine Anteaters,0.524567453
11/5/2019,Fresno State Bulldogs,0.524253221
11/5/2019,Illinois-Chicago Flames,0.523854532
11/5/2019,Texas A&M Aggies,0.52315973
11/5/2019,Oklahoma State Cowboys,0.521320015
11/5/2019,Missouri Tigers,0.51953844
11/5/2019,Bowling Green State Falcons,0.517850154
11/5/2019,Western Kentucky Hilltoppers,0.516650805
11/5/2019,Boise State Broncos,0.515494415
11/5/2019,California-Santa Barbara Gauchos,0.515344984
11/5/2019,Seattle University Red Hawks,0.514006944
11/5/2019,Alabama Crimson Tide,0.513695976
11/5/2019,Loyola-Chicago Ramblers,0.512822037
11/5/2019,Oklahoma Sooners,0.512779186
11/5/2019,Brigham Young Cougars,0.512467401
11/5/2019,Wichita State Shockers,0.512096476
11/5/2019,College of Charleston Cougars,0.511910965
11/5/2019,Radford Highlanders,0.510354398
11/5/2019,Rutgers Scarlet Knights,0.510326881
11/5/2019,Virginia Tech Hokies,0.507468334
11/5/2019,Georgia Tech Yellow Jackets,0.503691811
11/5/2019,Washington Huskies,0.503458245
11/5/2019,Wright State Raiders,0.503347122
11/5/2019,New Jersey Tech Highlanders,0.502776658
11/5/2019,Northern Iowa Panthers,0.502673039
11/5/2019,Richmond Spiders,0.501259451
11/5/2019,Old Dominion Monarchs,0.499311892
11/5/2019,West Virginia Mountaineers,0.499267578
11/5/2019,Akron Zips,0.498782731
11/5/2019,Ball State Cardinals,0.498355022
11/5/2019,UCLA Bruins,0.498245196
11/5/2019,Duquesne Dukes,0.497635004
11/5/2019,Pennsylvania Quakers,0.497307313
11/5/2019,San Diego State Aztecs,0.497285937
11/5/2019,North Dakota State Bison,0.495764478
11/5/2019,Alabama-Birmingham Blazers,0.495581941
11/5/2019,Central Michigan Chippewas,0.495384662
11/5/2019,Loyola-Marymount Lions,0.495384662
11/5/2019,Drake Bulldogs,0.495152229
11/5/2019,Southern California Trojans,0.493630464
11/5/2019,Texas Christian Horned Frogs,0.493620314
11/5/2019,Gardner Webb Runnin Bulldogs,0.493217804
11/5/2019,Pepperdine Waves,0.488269044
11/5/2019,Texas-San Antonio Roadrunners,0.487489244
11/5/2019,North Texas Mean Green Eagles,0.486892607
11/5/2019,Northern Colorado Bears,0.485974217
11/5/2019,Miami-Florida Hurricanes,0.483188444
11/5/2019,Clemson Tigers,0.483015802
11/5/2019,Bucknell Bison,0.482699563
11/5/2019,South Carolina Gamecocks,0.481764972
11/5/2019,Wisconsin-Green Bay Phoenix,0.481258741
11/5/2019,Pittsburgh Panthers,0.480129503
11/5/2019,Charleston Southern Buccaneers,0.479672459
11/5/2019,Samford Bulldogs,0.477958065
11/5/2019,DePaul Blue Demons,0.476753569
11/5/2019,Saint Bonaventure Bonnies,0.476748107
11/5/2019,Brown Bears,0.474386998
11/5/2019,Texas State Bobcats,0.473437612
11/5/2019,Lipscomb Bison,0.472259301
11/5/2019,Yale Bulldogs,0.471872988
11/5/2019,Nevada Wolf Pack,0.470998756
11/5/2019,Maryland-Baltimore County Retrievers,0.470268447
11/5/2019,Princeton Tigers,0.4692592
11/5/2019,Stony Brook Seawolves,0.467614539
11/5/2019,Northeastern Huskies,0.46760632
11/5/2019,Stanford Cardinal,0.4657235
11/5/2019,Texas-Arlington Mavericks,0.461441048
11/5/2019,Northern Illinois Huskies,0.461422717
11/5/2019,Southern Methodist Mustangs,0.460855676
11/5/2019,Weber State Wildcats,0.460763494
11/5/2019,George Mason Patriots,0.460446675
11/5/2019,Santa Clara Broncos,0.457813201
11/5/2019,Central Florida Knights,0.457721127
11/5/2019,Iona Gaels,0.456841406
11/5/2019,South Dakota Coyotes,0.456327006
11/5/2019,New Mexico Lobos,0.455602546
11/5/2019,North Florida Ospreys,0.452779268
11/5/2019,Kent State Golden Flashes,0.451388084
11/5/2019,Minnesota Golden Gophers,0.450532189
11/5/2019,Columbia Lions,0.447926437
11/5/2019,Saint Louis Billikens,0.447660978
11/5/2019,Wake Forest Demon Deacons,0.44730423
11/5/2019,Bradley Braves,0.445924862
11/5/2019,Tulsa Golden Hurricane,0.444251359
11/5/2019,South Alabama Jaguars,0.443854488
11/5/2019,Miami-Ohio Redhawks,0.441406441
11/5/2019,Northwestern Wildcats,0.439669955
11/5/2019,California Baptist Lancers,0.438893687
11/5/2019,Florida Atlantic Owls,0.438690276
11/5/2019,Boston College Eagles,0.437570539
11/5/2019,Saint Johns Red Storm,0.437418498
11/5/2019,Coastal Carolina Chanticleers,0.436974007
11/5/2019,Grand Canyon Antelope,0.436881475
11/5/2019,Hawaii Rainbow Warriors,0.436291628
11/5/2019,Georgia Bulldogs,0.434467013
11/5/2019,Montana Grizzlies,0.434418811
11/5/2019,Sacred Heart Pioneers,0.432845194
11/5/2019,Boston University Terriers,0.428958027
11/5/2019,Air Force Falcons,0.427539459
11/5/2019,Rider Broncs,0.426994535
11/5/2019,Nebraska-Omaha Mavericks,0.426390478
11/5/2019,Indiana State Sycamores,0.424303516
11/5/2019,South Dakota State Jackrabbits,0.424105701
11/5/2019,Missouri State Bears,0.421604985
11/5/2019,American Eagles,0.421118159
11/5/2019,Albany Great Danes,0.421028683
11/5/2019,Long Island Brooklyn Blackbirds,0.421018206
11/5/2019,Marshall Thundering Herd,0.415279927
11/5/2019,Fairleigh Dickinson-Metropolitan Knights,0.413570385
11/5/2019,Utah Utes,0.412790217
11/5/2019,New Orleans Privateers,0.411711198
11/5/2019,Dartmouth College Big Green,0.410630849
11/5/2019,Florida International Panthers,0.41049942
11/5/2019,Abilene Christian Wildcats,0.409191639
11/5/2019,San Diego Toreros,0.408182598
11/5/2019,Sam Houston State Bearkats,0.404901881
11/5/2019,California State-Northridge Matadors,0.404623457
11/5/2019,Towson Tigers,0.403327813
11/5/2019,Southern Mississippi Golden Eagles,0.402983128
11/5/2019,Loyola-Maryland Greyhounds,0.402537097
11/5/2019,Appalachian State Mountaineers,0.402518661
11/5/2019,Georgia State Panthers,0.400028564
11/5/2019,Jacksonville State Gamecocks,0.39843653
11/5/2019,Colorado State Rams,0.397775118
11/5/2019,UNLV Rebels,0.397618101
11/5/2019,IUPU-Fort Wayne Mastadons,0.397232663
11/5/2019,Vanderbilt Commodores,0.395160453
11/5/2019,Austin Peay State Governors,0.3942587
11/5/2019,Louisiana-Monroe Warhawks,0.393265845
11/5/2019,Nebraska Cornhuskers,0.38972825
11/5/2019,Texas Rio Grande Vaqueros,0.389675552
11/5/2019,Evansville Aces,0.38889383
11/5/2019,Winthrop Eagles,0.388139377
11/5/2019,Middle Tennessee State Blue Raiders,0.387912684
11/5/2019,Utah Valley Wolverines,0.387689352
11/5/2019,California State-Sacramento Hornets,0.387070221
11/5/2019,Youngstown State Penguins,0.386455184
11/5/2019,North Dakota Fighting Hawks,0.384201199
11/5/2019,Lamar Cardinals,0.381997647
11/5/2019,Arkansas-Little Rock Trojans,0.381991041
11/5/2019,Campbell Fighting Camels,0.380851475
11/5/2019,Saint Francis-Pennsylvania Red Flash,0.380779006
11/5/2019,Eastern Washington Eagles,0.380388479
11/5/2019,Hampton University Pirates,0.377658911
11/5/2019,Southern Utah Thunderbirds,0.37749013
11/5/2019,Lehigh Mountain Hawks,0.377422563
11/5/2019,Massachusetts-Lowell River Hawks,0.374436762
11/5/2019,Rice University Owls,0.373431544
11/5/2019,Grambling State Tigers,0.373414494
11/5/2019,California State-Fullerton Titans,0.372815056
11/5/2019,Valparaiso Crusaders,0.371992977
11/5/2019,Mercer Bears,0.371815211
11/5/2019,Robert Morris Colonials,0.369845095
11/5/2019,Army Black Knights,0.367401933
11/5/2019,James Madison Dukes,0.366956221
11/5/2019,Mount Saint Marys Mountaineers,0.366826942
11/5/2019,Lafayette College Leopards,0.364880566
11/5/2019,Eastern Kentucky Colonels,0.363756331
11/5/2019,Fordham Rams,0.363314908
11/5/2019,Oakland Golden Grizzlies,0.358314142
11/5/2019,Washington State Cougars,0.358085014
11/5/2019,Monmouth-New Jersey Hawks,0.357988484
11/5/2019,Oral Roberts Golden Eagles,0.356454517
11/5/2019,La Salle Explorers,0.353383927
11/5/2019,Southern Illinois Salukis,0.352445079
11/5/2019,Quinnipiac Bobcats,0.351951646
11/5/2019,Louisiana-Lafayette Ragin Cajuns,0.348118348
11/5/2019,Western Carolina Catamounts,0.345057826
11/5/2019,Longwood Lancers,0.341978915
11/5/2019,California Golden Bears,0.341124541
11/5/2019,Manhattan Jaspers,0.340218681
11/5/2019,Drexel Dragons,0.338468048
11/5/2019,Eastern Illinois Panthers,0.33723864
11/5/2019,Texas-El Paso Miners,0.337206187
11/5/2019,Prairie View A&M Panthers,0.335892927
11/5/2019,George Washington Colonials,0.331394939
11/5/2019,Indiana-Purdue Jaguars,0.330568088
11/5/2019,Texas A&M-Corpus Christi Islanders,0.329571842
11/5/2019,California State-Bakersfield Roadrunners,0.32674501
11/5/2019,Western Illinois Leathernecks,0.324733538
11/5/2019,Tennessee-Chattanooga Moccasins,0.324495239
11/5/2019,Presbyterian Blue Hose,0.324289086
11/5/2019,Texas Southern Tigers,0.322796287
11/5/2019,Portland State Vikings,0.3215042
11/5/2019,Western Michigan Broncos,0.319866652
11/5/2019,Eastern Michigan Eagles,0.319094145
11/5/2019,Saint Francis-New York Terriers,0.318604469
11/5/2019,Northern Arizona Lumberjacks,0.318444328
11/5/2019,Siena College Saints,0.31332729
11/5/2019,Massachusetts Minutemen,0.313326773
11/5/2019,Morehead State Eagles,0.311391946
11/5/2019,William & Mary Tribe,0.308931383
11/5/2019,Illinois State Redbirds,0.307853553
11/5/2019,Missouri-Kansas City Kangaroos,0.3068107
11/5/2019,California-Riverside Highlanders,0.306307728
11/5/2019,Florida Gulf Coast Eagles,0.306129506
11/5/2019,Central Arkansas Bears,0.304376006
11/5/2019,Bethune Cookman Wildcats,0.30241538
11/5/2019,Saint Josephs-Pennsylvania Hawks,0.302171885
11/5/2019,Houston Baptist Huskies,0.3013286
11/5/2019,Alcorn State Braves,0.299486467
11/5/2019,Jacksonville Dolphins,0.298696916
11/5/2019,Virginia Military Keydets,0.297849585
11/5/2019,High Point Panthers,0.297780556
11/5/2019,North Carolina Central Eagles,0.296955785
11/5/2019,Delaware Blue Hens,0.296922843
11/5/2019,Wisconsin-Milwaukee Panthers,0.294237175
11/5/2019,California-Davis Aggies,0.294005186
11/5/2019,Fairfield Stags,0.293271042
11/5/2019,Cornell Big Red,0.291902136
11/5/2019,Southeastern Louisiana Lions,0.291593874
11/5/2019,Nicholls State Colonels,0.287983756
11/5/2019,Howard Bison,0.287004802
11/5/2019,Morgan State Bears,0.285361087
11/5/2019,Stephen F. Austin State Lumberjacks,0.284275796
11/5/2019,North Carolina A&T Aggies,0.282692002
11/5/2019,Canisius Golden Griffins,0.282468435
11/5/2019,Montana State Bobcats,0.281612267
11/5/2019,Ohio Bobcats,0.281481936
11/5/2019,Wyoming Cowboys,0.278549358
11/5/2019,Pacific Tigers,0.277673677
11/5/2019,North Carolina-Wilmington Seahawks,0.277338338
11/5/2019,Navy Midshipmen,0.276542375
11/5/2019,North Alabama Lions,0.274694654
11/5/2019,Arkansas State Red Wolves,0.273099077
11/5/2019,Norfolk State Spartans,0.272990919
11/5/2019,Detroit-Mercy Titans,0.267251107
11/5/2019,North Carolina-Asheville Bulldogs,0.264566708
11/5/2019,South Carolina State Bulldogs,0.260658645
11/5/2019,Saint Peters Peacocks,0.259163926
11/5/2019,New Hampshire Wildcats,0.255631289
11/5/2019,Southeast Missouri State Redhawks,0.255417226
11/5/2019,Alabama State Hornets,0.255285813
11/5/2019,Troy Trojans,0.253614515
11/5/2019,Florida A&M Rattlers,0.252666066
11/5/2019,Citadel Bulldogs,0.251772866
11/5/2019,Tennessee-Martin Skyhawks,0.25168068
11/5/2019,Elon Phoenix,0.249612873
11/5/2019,California State-Long Beach 49ers,0.249022106
11/5/2019,North Carolina-Charlotte 49ers,0.245417828
11/5/2019,Holy Cross Crusaders,0.243772352
11/5/2019,Jackson State Tigers,0.238212577
11/5/2019,Southern Illinois-Edwardsville Cougars,0.236484369
11/5/2019,Arkansas-Pine Bluff Golden Lions,0.234196146
11/5/2019,Bryant University Bulldogs,0.229638084
11/5/2019,Kennesaw State Owls,0.228676107
11/5/2019,Idaho State Bengals,0.228476736
11/5/2019,Cleveland State Vikings,0.22422878
11/5/2019,Hartford Hawks,0.220978798
11/5/2019,Incarnate Word Cardinals,0.22067893
11/5/2019,Portland Pilots,0.218786939
11/5/2019,Tennessee Tech Golden Eagles,0.218378829
11/5/2019,Niagara Purple Eagles,0.21634508
11/5/2019,Cal Poly-Slo Mustangs,0.214126852
11/5/2019,South Carolina-Upstate Spartans,0.211199307
11/5/2019,Tennessee State Tigers,0.209978617
11/5/2019,Marist Red Foxes,0.209663315
11/5/2019,Northwestern State Demons,0.20888801
11/5/2019,Denver Pioneers,0.205868788
11/5/2019,Wagner Seahawks,0.203655666
11/5/2019,East Carolina Pirates,0.201383996
11/5/2019,Central Connecticut State Blue Devils,0.200725816
11/5/2019,McNeese State Cowboys,0.200677728
11/5/2019,Maine Black Bears,0.20063528
11/5/2019,Alabama A&M Bulldogs,0.196510594
11/5/2019,Idaho Vandals,0.191195374
11/5/2019,Delaware State Hornets,0.184533074
11/5/2019,Maryland-Eastern Shore Hawks,0.180565127
11/5/2019,Stetson Hatters,0.173099644
11/5/2019,San Jose State Spartans,0.171399829
11/5/2019,Tulane Green Wave,0.159990654
11/5/2019,Binghamton Bearcats,0.150247447
11/5/2019,Merrimack Warriors,0.150247447
11/5/2019,Southern University A&M Jaguars,0.134895801
11/5/2019,Coppin State Eagles,0.12769632
11/5/2019,Mississippi Valley State Delta Devils,0.125915269
11/5/2019,Chicago State Cougars,0.064158602
